portion_replicate,portions
10.0% - #1,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #1,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
50.0% - #1,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
10.0% - #2,"[1, 0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0]"
10.0% - #3,"[0, 0, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0]"
25.0% - #2,"[2, 1, 0, 0, 2, 1, 1, 2, 0, 3, 1, 1]"
25.0% - #3,"[0, 1, 0, 0, 1, 1, 4, 0, 2, 3, 2, 0]"
50.0% - #2,"[0, 0, 2, 7, 1, 2, 2, 2, 4, 4, 0, 4]"
50.0% - #3,"[4, 2, 0, 0, 0, 4, 0, 9, 6, 0, 0, 3]"
100.0% - #1,"[4, 3, 2, 7, 2, 6, 4, 10, 6, 4, 3, 4]"
100.0% - #2,"[4, 3, 2, 7, 2, 6, 4, 10, 6, 4, 3, 4]"
100.0% - #3,"[4, 3, 2, 7, 2, 6, 4, 10, 6, 4, 3, 4]"
