portion_replicate,portions
10.0% - #1,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #2,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #3,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #4,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #5,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #6,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #7,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #8,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #9,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #10,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #11,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #12,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #13,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #14,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #15,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #16,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #17,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #18,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #19,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #20,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #21,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #22,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #23,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #24,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #25,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #26,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #27,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #28,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #29,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #30,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #31,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #32,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #33,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #34,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #35,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #36,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #37,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #38,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #39,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #40,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #41,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #42,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #43,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #44,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #45,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #46,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #47,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #48,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #49,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #50,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #51,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #52,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #53,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #54,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #55,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #56,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #57,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #58,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #59,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #60,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #61,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #62,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #63,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #64,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #65,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #66,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #67,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #68,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #69,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #70,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #71,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #72,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #73,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #74,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #75,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #76,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #77,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #78,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #79,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #80,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #81,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #82,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #83,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #84,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #85,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #86,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #87,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #88,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #89,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #90,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #91,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #92,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #93,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #94,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #95,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #96,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #97,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #98,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #99,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #100,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #101,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #102,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #103,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #104,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #105,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #106,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #107,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #108,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #109,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #110,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #111,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #112,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #113,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #114,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #115,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #116,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #117,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #118,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #119,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #120,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #121,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #122,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #123,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #124,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #125,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #126,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #127,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #128,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #129,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #130,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #131,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #132,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #133,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #134,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #135,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #136,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #137,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #138,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #139,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #140,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #141,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #142,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #143,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #144,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #145,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #146,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #147,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #148,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #149,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #150,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #151,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #152,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #153,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #154,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #155,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #156,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #157,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #158,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #159,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #160,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #161,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #162,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #163,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #164,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #165,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #166,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #167,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #168,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #169,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #170,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #171,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #172,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #173,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #174,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
