portion_replicate,portions
50.0% - #1,"[4, 3, 1, 2, 1, 3, 4, 3, 4, 0, 3, 0]"
50.0% - #2,"[2, 0, 0, 4, 0, 4, 3, 9, 1, 4, 0, 1]"
50.0% - #3,"[0, 3, 0, 1, 2, 2, 2, 10, 5, 0, 1, 2]"
50.0% - #4,"[4, 0, 2, 3, 0, 6, 1, 2, 5, 2, 3, 0]"
50.0% - #5,"[2, 1, 1, 5, 0, 1, 1, 5, 5, 2, 2, 3]"
50.0% - #6,"[1, 0, 2, 1, 0, 6, 2, 10, 1, 3, 2, 0]"
50.0% - #7,"[4, 0, 1, 3, 2, 5, 1, 1, 3, 4, 3, 1]"
50.0% - #8,"[3, 1, 2, 0, 2, 4, 4, 6, 4, 0, 0, 2]"
50.0% - #9,"[2, 2, 2, 5, 1, 2, 0, 4, 3, 4, 2, 1]"
50.0% - #10,"[3, 1, 2, 3, 1, 6, 2, 1, 2, 4, 1, 2]"
50.0% - #11,"[0, 3, 0, 2, 1, 6, 3, 2, 4, 3, 1, 3]"
50.0% - #12,"[2, 1, 1, 1, 1, 1, 0, 7, 5, 4, 1, 4]"
50.0% - #13,"[4, 0, 1, 1, 2, 3, 1, 9, 0, 2, 1, 4]"
50.0% - #14,"[3, 3, 2, 3, 2, 0, 4, 7, 4, 0, 0, 0]"
50.0% - #15,"[4, 2, 2, 5, 0, 0, 3, 7, 4, 0, 0, 1]"
50.0% - #16,"[3, 3, 0, 2, 1, 3, 3, 1, 6, 2, 0, 4]"
50.0% - #17,"[2, 0, 2, 1, 0, 6, 4, 2, 6, 2, 3, 0]"
50.0% - #18,"[2, 0, 1, 7, 0, 5, 2, 3, 5, 1, 2, 0]"
50.0% - #19,"[2, 0, 1, 6, 2, 0, 0, 9, 5, 2, 1, 0]"
50.0% - #20,"[1, 1, 2, 1, 2, 5, 1, 8, 0, 2, 3, 2]"
50.0% - #21,"[4, 2, 2, 1, 2, 4, 4, 3, 1, 2, 3, 0]"
50.0% - #22,"[4, 3, 0, 1, 0, 2, 2, 7, 4, 4, 1, 0]"
50.0% - #23,"[1, 0, 1, 2, 0, 2, 4, 10, 4, 4, 0, 0]"
50.0% - #24,"[0, 3, 1, 4, 1, 2, 0, 8, 3, 1, 1, 4]"
50.0% - #25,"[0, 0, 1, 2, 0, 6, 0, 9, 4, 2, 3, 1]"
50.0% - #26,"[4, 2, 0, 7, 1, 0, 2, 3, 0, 3, 2, 4]"
50.0% - #27,"[3, 1, 2, 6, 2, 4, 1, 0, 1, 3, 2, 3]"
50.0% - #28,"[4, 2, 0, 6, 0, 4, 1, 6, 1, 0, 2, 2]"
50.0% - #29,"[2, 3, 0, 7, 0, 3, 1, 1, 6, 2, 0, 3]"
50.0% - #30,"[4, 3, 2, 5, 1, 0, 4, 3, 3, 2, 0, 1]"
50.0% - #31,"[1, 0, 1, 4, 1, 5, 4, 2, 5, 3, 2, 0]"
50.0% - #32,"[2, 3, 2, 6, 1, 0, 0, 6, 6, 0, 1, 1]"
50.0% - #33,"[3, 3, 0, 4, 2, 2, 1, 5, 4, 0, 2, 2]"
50.0% - #34,"[1, 1, 2, 3, 2, 0, 4, 6, 2, 3, 3, 1]"
50.0% - #35,"[0, 0, 0, 6, 0, 4, 4, 7, 5, 2, 0, 0]"
50.0% - #36,"[3, 0, 1, 6, 0, 4, 2, 6, 3, 0, 3, 0]"
50.0% - #37,"[1, 0, 2, 5, 2, 3, 3, 6, 2, 1, 2, 1]"
50.0% - #38,"[2, 1, 1, 7, 1, 2, 1, 4, 2, 3, 2, 2]"
50.0% - #39,"[4, 3, 2, 4, 0, 1, 0, 8, 1, 4, 1, 0]"
50.0% - #40,"[2, 3, 1, 1, 2, 6, 1, 1, 5, 3, 1, 2]"
50.0% - #41,"[3, 3, 1, 7, 0, 5, 1, 1, 1, 3, 1, 2]"
50.0% - #42,"[2, 2, 2, 6, 2, 3, 1, 6, 0, 0, 3, 1]"
50.0% - #43,"[2, 2, 1, 2, 1, 3, 2, 6, 5, 0, 1, 3]"
50.0% - #44,"[4, 2, 2, 3, 1, 4, 1, 4, 2, 0, 2, 3]"
50.0% - #45,"[4, 3, 0, 3, 0, 0, 2, 5, 4, 0, 3, 4]"
50.0% - #46,"[3, 1, 1, 5, 1, 1, 4, 7, 1, 3, 1, 0]"
50.0% - #47,"[1, 1, 0, 5, 0, 3, 0, 7, 3, 4, 1, 3]"
50.0% - #48,"[0, 0, 2, 2, 1, 5, 0, 5, 6, 3, 1, 3]"
50.0% - #49,"[4, 1, 2, 7, 2, 3, 1, 6, 2, 0, 0, 0]"
50.0% - #50,"[4, 1, 2, 5, 1, 4, 1, 3, 2, 0, 3, 2]"
50.0% - #51,"[3, 3, 2, 1, 2, 4, 1, 3, 4, 0, 2, 3]"
50.0% - #52,"[2, 2, 0, 3, 1, 6, 3, 5, 4, 1, 0, 1]"
50.0% - #53,"[2, 3, 1, 4, 2, 5, 3, 3, 3, 2, 0, 0]"
50.0% - #54,"[4, 3, 2, 3, 1, 5, 3, 1, 0, 3, 1, 2]"
50.0% - #55,"[0, 3, 1, 4, 0, 3, 1, 7, 6, 0, 3, 0]"
50.0% - #56,"[0, 0, 2, 5, 2, 3, 2, 8, 1, 1, 0, 4]"
50.0% - #57,"[4, 3, 2, 7, 2, 1, 0, 0, 4, 3, 2, 0]"
50.0% - #58,"[0, 1, 0, 6, 2, 4, 2, 1, 6, 4, 2, 0]"
50.0% - #59,"[2, 1, 0, 7, 1, 2, 0, 6, 4, 0, 3, 2]"
50.0% - #60,"[1, 1, 1, 6, 1, 4, 3, 1, 0, 4, 3, 3]"
50.0% - #61,"[2, 0, 1, 6, 2, 5, 1, 0, 1, 4, 2, 4]"
50.0% - #62,"[1, 1, 0, 7, 0, 6, 4, 0, 1, 2, 2, 4]"
50.0% - #63,"[4, 3, 0, 1, 1, 4, 3, 7, 0, 1, 2, 2]"
50.0% - #64,"[3, 0, 1, 5, 2, 6, 4, 0, 1, 4, 0, 2]"
50.0% - #65,"[3, 1, 0, 0, 0, 5, 0, 8, 2, 4, 3, 2]"
50.0% - #66,"[0, 0, 1, 2, 0, 5, 4, 6, 3, 2, 3, 2]"
50.0% - #67,"[3, 2, 2, 2, 0, 0, 3, 9, 3, 0, 0, 4]"
50.0% - #68,"[2, 1, 2, 5, 1, 6, 1, 0, 1, 3, 2, 4]"
50.0% - #69,"[3, 1, 0, 3, 0, 1, 3, 7, 5, 3, 1, 1]"
50.0% - #70,"[3, 3, 1, 1, 2, 1, 1, 8, 4, 0, 3, 1]"
50.0% - #71,"[3, 1, 0, 3, 1, 4, 0, 8, 0, 3, 2, 3]"
50.0% - #72,"[0, 3, 2, 0, 0, 3, 4, 6, 6, 0, 1, 3]"
50.0% - #73,"[4, 2, 2, 0, 0, 3, 1, 7, 5, 0, 0, 4]"
50.0% - #74,"[1, 2, 1, 3, 1, 1, 1, 9, 2, 4, 0, 3]"
50.0% - #75,"[2, 2, 0, 2, 2, 2, 3, 1, 4, 4, 3, 3]"
50.0% - #76,"[0, 0, 0, 5, 2, 5, 1, 6, 2, 3, 2, 2]"
50.0% - #77,"[2, 0, 1, 0, 0, 0, 2, 10, 6, 2, 2, 3]"
50.0% - #78,"[1, 3, 0, 4, 2, 5, 3, 1, 4, 4, 0, 1]"
50.0% - #79,"[2, 2, 1, 7, 0, 5, 0, 1, 1, 2, 3, 4]"
50.0% - #80,"[2, 3, 1, 3, 1, 4, 1, 6, 2, 3, 0, 2]"
50.0% - #81,"[3, 1, 2, 5, 1, 1, 1, 8, 0, 0, 2, 4]"
50.0% - #82,"[2, 0, 1, 4, 1, 5, 4, 1, 6, 2, 0, 2]"
50.0% - #83,"[1, 1, 0, 7, 0, 4, 2, 4, 4, 1, 3, 1]"
50.0% - #84,"[3, 3, 1, 2, 1, 5, 0, 3, 0, 4, 2, 4]"
50.0% - #85,"[2, 0, 0, 5, 2, 5, 0, 7, 3, 2, 0, 2]"
50.0% - #86,"[1, 0, 2, 2, 0, 6, 4, 2, 6, 3, 2, 0]"
50.0% - #87,"[2, 3, 0, 2, 1, 3, 3, 7, 2, 0, 1, 4]"
50.0% - #88,"[2, 1, 0, 3, 0, 6, 2, 8, 2, 4, 0, 0]"
50.0% - #89,"[2, 0, 0, 6, 1, 0, 2, 7, 5, 0, 3, 2]"
50.0% - #90,"[3, 1, 0, 2, 2, 2, 3, 9, 1, 0, 3, 2]"
50.0% - #91,"[4, 2, 0, 1, 0, 5, 1, 3, 6, 2, 2, 2]"
50.0% - #92,"[0, 2, 2, 6, 2, 1, 1, 7, 3, 0, 1, 3]"
50.0% - #93,"[1, 3, 0, 2, 1, 3, 4, 5, 4, 1, 1, 3]"
50.0% - #94,"[4, 1, 1, 4, 2, 3, 0, 5, 2, 0, 2, 4]"
50.0% - #95,"[0, 3, 1, 4, 0, 2, 3, 4, 4, 1, 3, 3]"
50.0% - #96,"[0, 0, 1, 2, 0, 3, 3, 7, 6, 1, 1, 4]"
50.0% - #97,"[3, 1, 0, 4, 2, 2, 0, 5, 6, 1, 1, 3]"
50.0% - #98,"[0, 1, 2, 4, 0, 6, 4, 6, 2, 1, 1, 1]"
50.0% - #99,"[4, 1, 0, 2, 0, 4, 3, 4, 6, 0, 3, 1]"
50.0% - #100,"[4, 1, 1, 0, 1, 3, 4, 6, 3, 3, 2, 0]"
50.0% - #101,"[3, 0, 1, 6, 1, 6, 2, 4, 2, 0, 1, 2]"
50.0% - #102,"[3, 2, 2, 3, 2, 6, 3, 0, 3, 0, 0, 4]"
50.0% - #103,"[0, 0, 0, 5, 2, 5, 3, 0, 6, 4, 0, 3]"
50.0% - #104,"[2, 3, 2, 6, 0, 4, 3, 3, 2, 1, 0, 2]"
50.0% - #105,"[0, 2, 0, 7, 2, 4, 1, 2, 4, 0, 2, 4]"
50.0% - #106,"[2, 2, 0, 1, 2, 5, 3, 1, 4, 3, 2, 3]"
50.0% - #107,"[3, 2, 0, 0, 2, 6, 2, 4, 0, 4, 2, 3]"
50.0% - #108,"[3, 2, 1, 2, 1, 6, 0, 0, 5, 3, 1, 4]"
50.0% - #109,"[4, 0, 0, 6, 0, 6, 3, 0, 2, 2, 1, 4]"
50.0% - #110,"[4, 1, 0, 5, 0, 1, 2, 7, 4, 0, 1, 3]"
50.0% - #111,"[4, 0, 2, 5, 2, 1, 3, 0, 5, 3, 1, 2]"
50.0% - #112,"[0, 3, 1, 1, 1, 4, 1, 5, 6, 4, 2, 0]"
50.0% - #113,"[1, 3, 1, 1, 1, 3, 4, 1, 6, 4, 0, 3]"
50.0% - #114,"[2, 3, 2, 4, 1, 6, 0, 2, 6, 1, 0, 1]"
50.0% - #115,"[4, 1, 1, 2, 1, 2, 3, 2, 4, 1, 3, 4]"
50.0% - #116,"[1, 0, 1, 3, 1, 2, 2, 10, 3, 4, 0, 1]"
50.0% - #117,"[1, 0, 1, 3, 1, 6, 4, 7, 0, 3, 0, 2]"
50.0% - #118,"[0, 0, 1, 7, 0, 5, 1, 0, 5, 3, 2, 4]"
50.0% - #119,"[4, 0, 1, 5, 0, 2, 4, 0, 5, 4, 3, 0]"
50.0% - #120,"[3, 1, 2, 7, 1, 2, 0, 3, 1, 4, 1, 3]"
50.0% - #121,"[1, 0, 0, 3, 1, 3, 3, 7, 1, 4, 3, 2]"
50.0% - #122,"[0, 1, 2, 6, 2, 4, 3, 6, 1, 3, 0, 0]"
50.0% - #123,"[1, 3, 0, 7, 0, 4, 1, 6, 2, 0, 2, 2]"
50.0% - #124,"[0, 3, 2, 3, 0, 2, 4, 6, 3, 4, 1, 0]"
50.0% - #125,"[2, 2, 0, 4, 2, 4, 0, 4, 6, 4, 0, 0]"
50.0% - #126,"[4, 0, 0, 2, 1, 3, 3, 8, 4, 2, 1, 0]"
